Initializing new model
| epoch   1 |   100/18246 batches | lr 0.00010 | ms/batch 242.02 | loss 15.54898
| epoch   1 |   200/18246 batches | lr 0.00010 | ms/batch 237.31 | loss 13.67965
| epoch   1 |   300/18246 batches | lr 0.00010 | ms/batch 236.80 | loss 12.69156
| epoch   1 |   400/18246 batches | lr 0.00010 | ms/batch 235.83 | loss 12.27103
| epoch   1 |   500/18246 batches | lr 0.00010 | ms/batch 237.32 | loss 11.88984
| epoch   1 |   600/18246 batches | lr 0.00010 | ms/batch 235.06 | loss 11.63731
| epoch   1 |   700/18246 batches | lr 0.00010 | ms/batch 234.54 | loss 11.47632
| epoch   1 |   800/18246 batches | lr 0.00010 | ms/batch 234.59 | loss 11.24067
| epoch   1 |   900/18246 batches | lr 0.00010 | ms/batch 235.17 | loss 11.06266
| epoch   1 |  1000/18246 batches | lr 0.00010 | ms/batch 237.28 | loss 10.98779
| epoch   1 |  1100/18246 batches | lr 0.00010 | ms/batch 235.33 | loss 10.78507
| epoch   1 |  1200/18246 batches | lr 0.00010 | ms/batch 234.49 | loss 10.60807
| epoch   1 |  1300/18246 batches | lr 0.00010 | ms/batch 234.40 | loss 10.53355
| epoch   1 |  1400/18246 batches | lr 0.00010 | ms/batch 234.40 | loss 10.46661
| epoch   1 |  1500/18246 batches | lr 0.00010 | ms/batch 234.40 | loss 10.43231
| epoch   1 |  1600/18246 batches | lr 0.00010 | ms/batch 234.46 | loss 10.27601
| epoch   1 |  1700/18246 batches | lr 0.00010 | ms/batch 234.38 | loss 10.14091
| epoch   1 |  1800/18246 batches | lr 0.00010 | ms/batch 234.47 | loss 10.14858
| epoch   1 |  1900/18246 batches | lr 0.00010 | ms/batch 234.44 | loss 10.01065
| epoch   1 |  2000/18246 batches | lr 0.00010 | ms/batch 234.48 | loss 9.92800
| epoch   1 |  2100/18246 batches | lr 0.00010 | ms/batch 234.43 | loss 9.91501
| epoch   1 |  2200/18246 batches | lr 0.00010 | ms/batch 234.42 | loss 9.84527
| epoch   1 |  2300/18246 batches | lr 0.00010 | ms/batch 234.46 | loss 9.72156
| epoch   1 |  2400/18246 batches | lr 0.00010 | ms/batch 234.44 | loss 9.77585
| epoch   1 |  2500/18246 batches | lr 0.00010 | ms/batch 234.48 | loss 9.64841
| epoch   1 |  2600/18246 batches | lr 0.00010 | ms/batch 234.49 | loss 9.65975
| epoch   1 |  2700/18246 batches | lr 0.00010 | ms/batch 234.51 | loss 9.58859
| epoch   1 |  2800/18246 batches | lr 0.00010 | ms/batch 234.50 | loss 9.56343
| epoch   1 |  2900/18246 batches | lr 0.00010 | ms/batch 234.49 | loss 9.40297
| epoch   1 |  3000/18246 batches | lr 0.00010 | ms/batch 234.50 | loss 9.44343
| epoch   1 |  3100/18246 batches | lr 0.00010 | ms/batch 234.60 | loss 9.26143
| epoch   1 |  3200/18246 batches | lr 0.00010 | ms/batch 234.47 | loss 9.28147
| epoch   1 |  3300/18246 batches | lr 0.00010 | ms/batch 234.49 | loss 9.28262
| epoch   1 |  3400/18246 batches | lr 0.00010 | ms/batch 234.53 | loss 9.14251
| epoch   1 |  3500/18246 batches | lr 0.00010 | ms/batch 234.51 | loss 9.11873
| epoch   1 |  3600/18246 batches | lr 0.00010 | ms/batch 234.47 | loss 9.04553
| epoch   1 |  3700/18246 batches | lr 0.00010 | ms/batch 234.43 | loss 9.10671
| epoch   1 |  3800/18246 batches | lr 0.00010 | ms/batch 234.47 | loss 9.09187
| epoch   1 |  3900/18246 batches | lr 0.00010 | ms/batch 234.45 | loss 9.05292
| epoch   1 |  4000/18246 batches | lr 0.00010 | ms/batch 234.46 | loss 8.97382
| epoch   1 |  4100/18246 batches | lr 0.00010 | ms/batch 234.48 | loss 8.88187
| epoch   1 |  4200/18246 batches | lr 0.00010 | ms/batch 234.47 | loss 8.85826
| epoch   1 |  4300/18246 batches | lr 0.00010 | ms/batch 234.51 | loss 8.89950
| epoch   1 |  4400/18246 batches | lr 0.00010 | ms/batch 234.48 | loss 8.81485
| epoch   1 |  4500/18246 batches | lr 0.00010 | ms/batch 234.50 | loss 8.82126
| epoch   1 |  4600/18246 batches | lr 0.00010 | ms/batch 234.49 | loss 8.87024
| epoch   1 |  4700/18246 batches | lr 0.00010 | ms/batch 234.49 | loss 8.85152
| epoch   1 |  4800/18246 batches | lr 0.00010 | ms/batch 234.49 | loss 8.62716
| epoch   1 |  4900/18246 batches | lr 0.00010 | ms/batch 234.49 | loss 8.63186
| epoch   1 |  5000/18246 batches | lr 0.00010 | ms/batch 234.51 | loss 8.63444
| epoch   1 |  5100/18246 batches | lr 0.00010 | ms/batch 234.49 | loss 8.64624
| epoch   1 |  5200/18246 batches | lr 0.00010 | ms/batch 234.49 | loss 8.59942
| epoch   1 |  5300/18246 batches | lr 0.00010 | ms/batch 234.48 | loss 8.62936
| epoch   1 |  5400/18246 batches | lr 0.00010 | ms/batch 234.48 | loss 8.65789
| epoch   1 |  5500/18246 batches | lr 0.00010 | ms/batch 234.48 | loss 8.57634
| epoch   1 |  5600/18246 batches | lr 0.00010 | ms/batch 234.50 | loss 8.53287
| epoch   1 |  5700/18246 batches | lr 0.00010 | ms/batch 234.47 | loss 8.66394
| epoch   1 |  5800/18246 batches | lr 0.00010 | ms/batch 234.57 | loss 8.62311
| epoch   1 |  5900/18246 batches | lr 0.00010 | ms/batch 234.49 | loss 8.57377
| epoch   1 |  6000/18246 batches | lr 0.00010 | ms/batch 234.49 | loss 8.47182
| epoch   1 |  6100/18246 batches | lr 0.00010 | ms/batch 234.49 | loss 8.50475
| epoch   1 |  6200/18246 batches | lr 0.00010 | ms/batch 234.49 | loss 8.56454
| epoch   1 |  6300/18246 batches | lr 0.00010 | ms/batch 234.49 | loss 8.38778
| epoch   1 |  6400/18246 batches | lr 0.00010 | ms/batch 234.48 | loss 8.33883
| epoch   1 |  6500/18246 batches | lr 0.00010 | ms/batch 234.50 | loss 8.41882
| epoch   1 |  6600/18246 batches | lr 0.00010 | ms/batch 234.51 | loss 8.30427
| epoch   1 |  6700/18246 batches | lr 0.00010 | ms/batch 234.47 | loss 8.29944
| epoch   1 |  6800/18246 batches | lr 0.00010 | ms/batch 234.46 | loss 8.43666
| epoch   1 |  6900/18246 batches | lr 0.00010 | ms/batch 234.51 | loss 8.29677
| epoch   1 |  7000/18246 batches | lr 0.00010 | ms/batch 234.49 | loss 8.30634
| epoch   1 |  7100/18246 batches | lr 0.00010 | ms/batch 234.48 | loss 8.35656
| epoch   1 |  7200/18246 batches | lr 0.00010 | ms/batch 234.48 | loss 8.36821
| epoch   1 |  7300/18246 batches | lr 0.00010 | ms/batch 234.50 | loss 8.21204
| epoch   1 |  7400/18246 batches | lr 0.00010 | ms/batch 234.49 | loss 8.27691
| epoch   1 |  7500/18246 batches | lr 0.00010 | ms/batch 234.47 | loss 8.24279
| epoch   1 |  7600/18246 batches | lr 0.00010 | ms/batch 234.47 | loss 8.26681
| epoch   1 |  7700/18246 batches | lr 0.00010 | ms/batch 234.47 | loss 8.21997
| epoch   1 |  7800/18246 batches | lr 0.00010 | ms/batch 234.45 | loss 8.24252
| epoch   1 |  7900/18246 batches | lr 0.00010 | ms/batch 234.47 | loss 8.25792
| epoch   1 |  8000/18246 batches | lr 0.00010 | ms/batch 234.47 | loss 8.28162
| epoch   1 |  8100/18246 batches | lr 0.00010 | ms/batch 234.46 | loss 8.11695
| epoch   1 |  8200/18246 batches | lr 0.00010 | ms/batch 234.48 | loss 8.09695
| epoch   1 |  8300/18246 batches | lr 0.00010 | ms/batch 234.46 | loss 8.17176
| epoch   1 |  8400/18246 batches | lr 0.00010 | ms/batch 234.49 | loss 8.17845
| epoch   1 |  8500/18246 batches | lr 0.00010 | ms/batch 234.48 | loss 8.05304
| epoch   1 |  8600/18246 batches | lr 0.00010 | ms/batch 234.46 | loss 8.10195
| epoch   1 |  8700/18246 batches | lr 0.00010 | ms/batch 234.47 | loss 8.13550
| epoch   1 |  8800/18246 batches | lr 0.00010 | ms/batch 234.43 | loss 8.03135
| epoch   1 |  8900/18246 batches | lr 0.00010 | ms/batch 234.47 | loss 8.08259
| epoch   1 |  9000/18246 batches | lr 0.00010 | ms/batch 234.46 | loss 7.96845
| epoch   1 |  9100/18246 batches | lr 0.00010 | ms/batch 234.57 | loss 8.10903
| epoch   1 |  9200/18246 batches | lr 0.00010 | ms/batch 234.50 | loss 8.02830
| epoch   1 |  9300/18246 batches | lr 0.00010 | ms/batch 234.53 | loss 8.01488
| epoch   1 |  9400/18246 batches | lr 0.00010 | ms/batch 234.51 | loss 8.02720
| epoch   1 |  9500/18246 batches | lr 0.00010 | ms/batch 234.49 | loss 7.94411
| epoch   1 |  9600/18246 batches | lr 0.00010 | ms/batch 234.48 | loss 7.97574
| epoch   1 |  9700/18246 batches | lr 0.00010 | ms/batch 234.49 | loss 8.05080
| epoch   1 |  9800/18246 batches | lr 0.00010 | ms/batch 234.47 | loss 7.94376
| epoch   1 |  9900/18246 batches | lr 0.00010 | ms/batch 234.48 | loss 8.00076
| epoch   1 | 10000/18246 batches | lr 0.00010 | ms/batch 234.49 | loss 7.89124
| epoch   1 | 10100/18246 batches | lr 0.00010 | ms/batch 234.46 | loss 7.99175
| epoch   1 | 10200/18246 batches | lr 0.00010 | ms/batch 234.46 | loss 7.95717
| epoch   1 | 10300/18246 batches | lr 0.00010 | ms/batch 234.45 | loss 7.96568
| epoch   1 | 10400/18246 batches | lr 0.00010 | ms/batch 234.45 | loss 7.95300
| epoch   1 | 10500/18246 batches | lr 0.00010 | ms/batch 234.45 | loss 7.89743
| epoch   1 | 10600/18246 batches | lr 0.00010 | ms/batch 234.48 | loss 7.85087
| epoch   1 | 10700/18246 batches | lr 0.00010 | ms/batch 234.52 | loss 7.91723
| epoch   1 | 10800/18246 batches | lr 0.00010 | ms/batch 234.48 | loss 7.89305
| epoch   1 | 10900/18246 batches | lr 0.00010 | ms/batch 235.48 | loss 7.90365
| epoch   1 | 11000/18246 batches | lr 0.00010 | ms/batch 234.48 | loss 7.86127
| epoch   1 | 11100/18246 batches | lr 0.00010 | ms/batch 235.61 | loss 7.94265
| epoch   1 | 11200/18246 batches | lr 0.00010 | ms/batch 236.24 | loss 7.84294
| epoch   1 | 11300/18246 batches | lr 0.00010 | ms/batch 235.19 | loss 7.84181
| epoch   1 | 11400/18246 batches | lr 0.00010 | ms/batch 234.88 | loss 7.77012
| epoch   1 | 11500/18246 batches | lr 0.00010 | ms/batch 234.88 | loss 7.73564
| epoch   1 | 11600/18246 batches | lr 0.00010 | ms/batch 235.12 | loss 7.70540
| epoch   1 | 11700/18246 batches | lr 0.00010 | ms/batch 234.47 | loss 7.85170
| epoch   1 | 11800/18246 batches | lr 0.00010 | ms/batch 234.59 | loss 7.82998
| epoch   1 | 11900/18246 batches | lr 0.00010 | ms/batch 234.45 | loss 7.90707
| epoch   1 | 12000/18246 batches | lr 0.00010 | ms/batch 234.49 | loss 7.66979
| epoch   1 | 12100/18246 batches | lr 0.00010 | ms/batch 234.61 | loss 7.76044
| epoch   1 | 12200/18246 batches | lr 0.00010 | ms/batch 234.61 | loss 7.88819
| epoch   1 | 12300/18246 batches | lr 0.00010 | ms/batch 234.49 | loss 7.74601
| epoch   1 | 12400/18246 batches | lr 0.00010 | ms/batch 234.49 | loss 7.87628
| epoch   1 | 12500/18246 batches | lr 0.00010 | ms/batch 234.81 | loss 7.85633
| epoch   1 | 12600/18246 batches | lr 0.00010 | ms/batch 234.45 | loss 7.70389
| epoch   1 | 12700/18246 batches | lr 0.00010 | ms/batch 234.46 | loss 7.82504
| epoch   1 | 12800/18246 batches | lr 0.00010 | ms/batch 234.43 | loss 7.75270
| epoch   1 | 12900/18246 batches | lr 0.00010 | ms/batch 234.55 | loss 7.80341
| epoch   1 | 13000/18246 batches | lr 0.00010 | ms/batch 234.49 | loss 7.74065
| epoch   1 | 13100/18246 batches | lr 0.00010 | ms/batch 234.50 | loss 7.79124
| epoch   1 | 13200/18246 batches | lr 0.00010 | ms/batch 234.72 | loss 7.67467
| epoch   1 | 13300/18246 batches | lr 0.00010 | ms/batch 234.46 | loss 7.77551
| epoch   1 | 13400/18246 batches | lr 0.00010 | ms/batch 234.43 | loss 7.64992
| epoch   1 | 13500/18246 batches | lr 0.00010 | ms/batch 234.50 | loss 7.73796
| epoch   1 | 13600/18246 batches | lr 0.00010 | ms/batch 234.52 | loss 7.84147
| epoch   1 | 13700/18246 batches | lr 0.00010 | ms/batch 235.23 | loss 7.71824
| epoch   1 | 13800/18246 batches | lr 0.00010 | ms/batch 234.62 | loss 7.67721
| epoch   1 | 13900/18246 batches | lr 0.00010 | ms/batch 234.43 | loss 7.71667
| epoch   1 | 14000/18246 batches | lr 0.00010 | ms/batch 234.62 | loss 7.65629
| epoch   1 | 14100/18246 batches | lr 0.00010 | ms/batch 235.02 | loss 7.71468
| epoch   1 | 14200/18246 batches | lr 0.00010 | ms/batch 235.16 | loss 7.67732
| epoch   1 | 14300/18246 batches | lr 0.00010 | ms/batch 234.40 | loss 7.60332
| epoch   1 | 14400/18246 batches | lr 0.00010 | ms/batch 234.75 | loss 7.61294
| epoch   1 | 14500/18246 batches | lr 0.00010 | ms/batch 234.94 | loss 7.68016
| epoch   1 | 14600/18246 batches | lr 0.00010 | ms/batch 234.63 | loss 7.53910
| epoch   1 | 14700/18246 batches | lr 0.00010 | ms/batch 234.55 | loss 7.59007
| epoch   1 | 14800/18246 batches | lr 0.00010 | ms/batch 234.52 | loss 7.69806
| epoch   1 | 14900/18246 batches | lr 0.00010 | ms/batch 234.79 | loss 7.62947
| epoch   1 | 15000/18246 batches | lr 0.00010 | ms/batch 234.85 | loss 7.59503
| epoch   1 | 15100/18246 batches | lr 0.00010 | ms/batch 234.47 | loss 7.48986
| epoch   1 | 15200/18246 batches | lr 0.00010 | ms/batch 234.42 | loss 7.65433
| epoch   1 | 15300/18246 batches | lr 0.00010 | ms/batch 234.40 | loss 7.54531
| epoch   1 | 15400/18246 batches | lr 0.00010 | ms/batch 234.47 | loss 7.60884
| epoch   1 | 15500/18246 batches | lr 0.00010 | ms/batch 234.53 | loss 7.71858
| epoch   1 | 15600/18246 batches | lr 0.00010 | ms/batch 234.72 | loss 7.60292
| epoch   1 | 15700/18246 batches | lr 0.00010 | ms/batch 234.48 | loss 7.62563
| epoch   1 | 15800/18246 batches | lr 0.00010 | ms/batch 234.76 | loss 7.48818
| epoch   1 | 15900/18246 batches | lr 0.00010 | ms/batch 235.36 | loss 7.47628
| epoch   1 | 16000/18246 batches | lr 0.00010 | ms/batch 234.82 | loss 7.56585
| epoch   1 | 16100/18246 batches | lr 0.00010 | ms/batch 235.59 | loss 7.52527
| epoch   1 | 16200/18246 batches | lr 0.00010 | ms/batch 235.06 | loss 7.57652
| epoch   1 | 16300/18246 batches | lr 0.00010 | ms/batch 235.43 | loss 7.56467
| epoch   1 | 16400/18246 batches | lr 0.00010 | ms/batch 235.46 | loss 7.40749
| epoch   1 | 16500/18246 batches | lr 0.00010 | ms/batch 235.37 | loss 7.52996
| epoch   1 | 16600/18246 batches | lr 0.00010 | ms/batch 234.92 | loss 7.51682
| epoch   1 | 16700/18246 batches | lr 0.00010 | ms/batch 235.18 | loss 7.62421
| epoch   1 | 16800/18246 batches | lr 0.00010 | ms/batch 234.85 | loss 7.45957
| epoch   1 | 16900/18246 batches | lr 0.00010 | ms/batch 234.46 | loss 7.64614
| epoch   1 | 17000/18246 batches | lr 0.00010 | ms/batch 234.71 | loss 7.46374
| epoch   1 | 17100/18246 batches | lr 0.00010 | ms/batch 235.99 | loss 7.54645
| epoch   1 | 17200/18246 batches | lr 0.00010 | ms/batch 234.67 | loss 7.45370
| epoch   1 | 17300/18246 batches | lr 0.00010 | ms/batch 235.40 | loss 7.57684
| epoch   1 | 17400/18246 batches | lr 0.00010 | ms/batch 236.09 | loss 7.50373
| epoch   1 | 17500/18246 batches | lr 0.00010 | ms/batch 235.06 | loss 7.42913
| epoch   1 | 17600/18246 batches | lr 0.00010 | ms/batch 235.42 | loss 7.50665
| epoch   1 | 17700/18246 batches | lr 0.00010 | ms/batch 235.95 | loss 7.45081
| epoch   1 | 17800/18246 batches | lr 0.00010 | ms/batch 236.41 | loss 7.44540
